libGLX.so.0->malloc(72)                                                      = 0x558242441070 <0.000047>
libGLX.so.0->malloc(72)                                                      = 0x5582424410c0 <0.000048>
libxcb.so.1->malloc(32)                                                      = 0x5582423da060 <0.000095>
libxcb.so.1->malloc(16)                                                      = 0x558242441150 <0.000075>
libxcb.so.1->free(0x558242441150)                                            = <void> <0.000073>
libxcb.so.1->malloc(36)                                                      = 0x5582424439e0 <0.000073>
libxcb.so.1->malloc(16)                                                      = 0x558242443f30 <0.000102>
libxcb.so.1->malloc(32)                                                      = 0x558242441190 <0.000076>
libxcb.so.1->malloc(16)                                                      = 0x558242441170 <0.000071>
libxcb.so.1->free(0x558242443f30)                                            = <void> <0.000070>
libxcb.so.1->free(0x558242441170)                                            = <void> <0.000071>
libxcb.so.1->malloc(36)                                                      = 0x5582424439e0 <0.000084>
libxcb.so.1->malloc(16)                                                      = 0x558242441170 <0.000072>
libxcb.so.1->malloc(36)                                                      = 0x558242441220 <0.000073>
libxcb.so.1->malloc(16)                                                      = 0x558242444020 <0.000073>
libxcb.so.1->malloc(36)                                                      = 0x558242441250 <0.000074>
libxcb.so.1->malloc(16)                                                      = 0x558242443f30 <0.000075>
libxcb.so.1->malloc(36)                                                      = 0x558242441280 <0.000069>
libxcb.so.1->malloc(16)                                                      = 0x5582424412b0 <0.000069>
libxcb.so.1->malloc(36)                                                      = 0x5582424412d0 <0.000068>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000067>
libxcb.so.1->malloc(32)                                                      = 0x558242441320 <0.000065>
libxcb.so.1->malloc(16)                                                      = 0x558242441350 <0.000066>
libxcb.so.1->free(0x558242441170)                                            = <void> <0.000068>
libxcb.so.1->free(0x558242444020)                                            = <void> <0.000068>
libxcb.so.1->free(0x558242443f30)                                            = <void> <0.000068>
libxcb.so.1->free(0x5582424412b0)                                            = <void> <0.000068>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000068>
libxcb.so.1->free(0x558242441350)                                            = <void> <0.000068>
libxcb.so.1->malloc(36)                                                      = 0x5582424412d0 <0.000140>
libxcb.so.1->malloc(16)                                                      = 0x558242441150 <0.000119>
libxcb.so.1->malloc(80)                                                      = 0x5582424413b0 <0.000100>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000099>
libxcb.so.1->malloc(32)                                                      = 0x558242441280 <0.000083>
libxcb.so.1->malloc(16)                                                      = 0x5582424412b0 <0.000069>
libxcb.so.1->free(0x558242441150)                                            = <void> <0.000071>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000069>
libxcb.so.1->free(0x5582424412b0)                                            = <void> <0.000089>
libxcb.so.1->malloc(32)                                                      = 0x5582424412d0 <0.000104>
libxcb.so.1->malloc(16)                                                      = 0x5582424411c0 <0.000106>
libxcb.so.1->free(0x5582424411c0)                                            = <void> <0.000111>
libxcb.so.1->malloc(32)                                                      = 0x558242441250 <0.000095>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000097>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000096>
libxcb.so.1->malloc(32)                                                      = 0x5582424439e0 <0.000109>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000102>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000104>
libxcb.so.1->malloc(32)                                                      = 0x5582424439e0 <0.000109>
libxcb.so.1->malloc(16)                                                      = 0x558242441350 <0.000089>
libxcb.so.1->free(0x558242441350)                                            = <void> <0.000085>
libxcb.so.1->malloc(32)                                                      = 0x558242441220 <0.000107>
libxcb.so.1->malloc(16)                                                      = 0x5582424411c0 <0.000099>
libxcb.so.1->free(0x5582424411c0)                                            = <void> <0.000103>
libxcb.so.1->malloc(44)                                                      = 0x558242441a40 <0.000112>
libxcb.so.1->malloc(16)                                                      = 0x558242441150 <0.000104>
libxcb.so.1->malloc(24)                                                      = 0x558242443f30 <0.000099>
libxcb.so.1->malloc(32)                                                      = 0x5582424419d0 <0.000112>
libxcb.so.1->malloc(16)                                                      = 0x558242444020 <0.000087>
libxcb.so.1->free(0x558242443f30)                                            = <void> <0.000075>
libxcb.so.1->free(0x558242441150)                                            = <void> <0.000109>
libxcb.so.1->free(0x558242444020)                                            = <void> <0.000106>
libX11.so.6->realloc(0, 1024)                                                = 0x5582423ce010 <0.000079>
libxcb.so.1->malloc(44)                                                      = 0x55824246cfd0 <0.000102>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000049>
libxcb.so.1->malloc(24)                                                      = 0x558242465050 <0.000068>
libxcb.so.1->malloc(32)                                                      = 0x558242464ff0 <0.000097>
libxcb.so.1->malloc(16)                                                      = 0x558242464fd0 <0.000078>
libxcb.so.1->free(0x558242465050)                                            = <void> <0.000078>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000074>
libxcb.so.1->free(0x558242464fd0)                                            = <void> <0.000070>
libxcb.so.1->malloc(44)                                                      = 0x55824246cfd0 <0.000077>
libxcb.so.1->malloc(16)                                                      = 0x558242441300 <0.000073>
libxcb.so.1->malloc(24)                                                      = 0x558242465050 <0.000072>
libxcb.so.1->malloc(32)                                                      = 0x558242464ff0 <0.000072>
libxcb.so.1->malloc(16)                                                      = 0x558242465100 <0.000073>
libxcb.so.1->free(0x558242465050)                                            = <void> <0.000077>
libxcb.so.1->free(0x558242441300)                                            = <void> <0.000072>
libxcb.so.1->free(0x558242465100)                                            = <void> <0.000069>
libGLX.so.0->malloc(90)                                                      = 0x55824243cf90 <0.000074>
libGLX.so.0->malloc(64)                                                      = 0x55824246d010 <0.000069>
libGLX.so.0->malloc(88)                                                      = 0x558242463bb0 <0.000071>
libGLX.so.0->malloc(87)                                                      = 0x558242463b50 <0.000069>
libGLX.so.0->malloc(89)                                                      = 0x5582423dd330 <0.000069>
libGLX.so.0->malloc(99)                                                      = 0x55824246d270 <0.000069>
libGLX.so.0->malloc(91)                                                      = 0x55824246d2e0 <0.000069>
libGLX.so.0->malloc(92)                                                      = 0x55824246d350 <0.000077>
libGLX.so.0->malloc(89)                                                      = 0x55824246d3c0 <0.000080>
libGLX.so.0->malloc(88)                                                      = 0x5582424413b0 <0.000080>
libGLX.so.0->malloc(88)                                                      = 0x55824246d430 <0.000080>
libGLX.so.0->malloc(90)                                                      = 0x55824246d490 <0.000081>
libGLX.so.0->malloc(92)                                                      = 0x55824246d500 <0.000080>
libGLX.so.0->malloc(90)                                                      = 0x55824246d570 <0.000077>
libGLX.so.0->malloc(89)                                                      = 0x55824246d5e0 <0.000068>
libGLX.so.0->malloc(89)                                                      = 0x55824246d650 <0.000078>
libGLX.so.0->malloc(91)                                                      = 0x55824246d6c0 <0.000078>
libGLX.so.0->malloc(85)                                                      = 0x55824246d730 <0.000077>
libGLX.so.0->malloc(93)                                                      = 0x55824246d790 <0.000076>
libGLX.so.0->malloc(93)                                                      = 0x55824246d800 <0.000076>
